Department URL,Department Name
http://collegecatalog.uchicago.edu/thecollege/anthropology/,Anthropology
http://collegecatalog.uchicago.edu/thecollege/architecturalstudies/,Architectural Studies
http://collegecatalog.uchicago.edu/thecollege/arthistory/,Art History
http://collegecatalog.uchicago.edu/thecollege/astronomyastrophysics/,Astrophysics
http://collegecatalog.uchicago.edu/thecollege/biologicalchemistry/,Biological Chemistry
http://collegecatalog.uchicago.edu/thecollege/biologicalsciences/,Biological Sciences
http://collegecatalog.uchicago.edu/thecollege/chemistry/,Chemistry
http://collegecatalog.uchicago.edu/thecollege/cinemamediastudies/,Cinema and Media Studies
http://collegecatalog.uchicago.edu/thecollege/classicalstudies/,Classical Studies
http://collegecatalog.uchicago.edu/thecollege/cognitivescience/,Cognitive Science
http://collegecatalog.uchicago.edu/thecollege/comparativehumandevelopment/,Comparative Human Development
http://collegecatalog.uchicago.edu/thecollege/comparativeliterature/,Comparative Literature
http://collegecatalog.uchicago.edu/thecollege/caam/,Computational and Applied Mathematics
http://collegecatalog.uchicago.edu/thecollege/computationalsocialscience/,Computational Social Science
http://collegecatalog.uchicago.edu/thecollege/computerscience/,Computer Science
http://collegecatalog.uchicago.edu/thecollege/creativewriting/,Creative Writing
http://collegecatalog.uchicago.edu/thecollege/comparativeraceethnicstudies/,Critical Race and Ethnic Studies
http://collegecatalog.uchicago.edu/thecollege/datascience/,Data Science
http://collegecatalog.uchicago.edu/thecollege/democracystudies/,Democracy Studies
http://collegecatalog.uchicago.edu/thecollege/digitalstudies/,"Digital Studies of Language, Culture, and History"
http://collegecatalog.uchicago.edu/thecollege/eastasianlanguagescivilizations/,East Asian Languages and Civilizations
http://collegecatalog.uchicago.edu/thecollege/economics/,Economics
http://collegecatalog.uchicago.edu/thecollege/educationandsociety/,Education and Society
http://collegecatalog.uchicago.edu/thecollege/englishlanguageliterature/,English Language and Literature
http://collegecatalog.uchicago.edu/thecollege/environmentalscience/,Environmental Science
http://collegecatalog.uchicago.edu/thecollege/environmentalstudies/,Environmental and Urban Studies
http://collegecatalog.uchicago.edu/thecollege/cegu/,"Environment, Geography, and Urbanization"
http://collegecatalog.uchicago.edu/thecollege/fundamentalsissuesandtexts/,Fundamentals: Issues and Texts
http://collegecatalog.uchicago.edu/thecollege/genderstudies/,Gender and Sexuality Studies
http://collegecatalog.uchicago.edu/thecollege/geographicalstudies/,Geographic Information Science
http://collegecatalog.uchicago.edu/thecollege/geophysicalsciences/,Geophysical Sciences
http://collegecatalog.uchicago.edu/thecollege/germanicstudies/,Germanic Studies
http://collegecatalog.uchicago.edu/thecollege/globalstudies/,Global Studies
http://collegecatalog.uchicago.edu/thecollege/healthandsociety/,Health and Society
http://collegecatalog.uchicago.edu/thecollege/history/,History
http://collegecatalog.uchicago.edu/thecollege/scienceandmedicinehips/,"History, Philosophy, and Social Studies of Science and Medicine"
http://collegecatalog.uchicago.edu/thecollege/humanrights/,Human Rights
http://collegecatalog.uchicago.edu/thecollege/inequalityandsocialchange/,"Inequality, Social Problems, and Change"
http://collegecatalog.uchicago.edu/thecollege/Inquiryresearchhumanities/,Inquiry and Research in the Humanities
http://collegecatalog.uchicago.edu/thecollege/jewishstudies/,Jewish Studies
http://collegecatalog.uchicago.edu/thecollege/latinamericanstudies/,Latin American and Caribbean Studies
http://collegecatalog.uchicago.edu/thecollege/lawlettersandsociety/,"Law, Letters, and Society"
http://collegecatalog.uchicago.edu/thecollege/linguistics/,Linguistics
http://collegecatalog.uchicago.edu/thecollege/mathematics/,Mathematics
http://collegecatalog.uchicago.edu/thecollege/MediaArtsandDesign/,Media Arts and Design
http://collegecatalog.uchicago.edu/thecollege/medievalstudies/,Medieval Studies
http://collegecatalog.uchicago.edu/thecollege/molecularengineering/,Molecular Engineering
http://collegecatalog.uchicago.edu/thecollege/music/,Music
http://collegecatalog.uchicago.edu/thecollege/neareasternlanguagescivilizations/,Near Eastern Languages and Civilizations
http://collegecatalog.uchicago.edu/thecollege/neuroscience/,Neuroscience
http://collegecatalog.uchicago.edu/thecollege/norwegianstudies/,Norwegian Studies
http://collegecatalog.uchicago.edu/thecollege/philosophy/,Philosophy
http://collegecatalog.uchicago.edu/thecollege/physics/,Physics
http://collegecatalog.uchicago.edu/thecollege/politicalscience/,Political Science
http://collegecatalog.uchicago.edu/thecollege/psychology/,Psychology
http://collegecatalog.uchicago.edu/thecollege/publicpolicystudies/,Public Policy Studies
http://collegecatalog.uchicago.edu/thecollege/quantitativesocialanalysis/,Quantitative Social Analysis
http://collegecatalog.uchicago.edu/thecollege/rdin/,"Race, Diaspora, and Indigeneity"
http://collegecatalog.uchicago.edu/thecollege/religiousstudies/,Religious Studies
http://collegecatalog.uchicago.edu/thecollege/renaissancestudies/,Renaissance Studies
http://collegecatalog.uchicago.edu/thecollege/romancelanguagesliteratures/,Romance Languages and Literatures
http://collegecatalog.uchicago.edu/thecollege/slaviclanguagesliteratures/,Russian and East European Studies
http://collegecatalog.uchicago.edu/thecollege/sciencecommunicationpublicdiscourse/,Science Communication and Public Discourse
http://collegecatalog.uchicago.edu/thecollege/sociology/,Sociology
http://collegecatalog.uchicago.edu/thecollege/southasianlanguagescivilizations/,South Asian Languages and Civilizations
http://collegecatalog.uchicago.edu/thecollege/statistics/,Statistics
http://collegecatalog.uchicago.edu/thecollege/theaterperformancestudies/,Theater and Performance Studies
http://collegecatalog.uchicago.edu/thecollege/visualarts/,Visual Arts
http://collegecatalog.uchicago.edu/thecollege/yiddish/,Yiddish Studies
